iter	Logloss
221	0.5322443883
222	0.5320679471
223	0.5319424339
224	0.5317859119
225	0.531671305
226	0.5314969624
227	0.531331554
228	0.5311437654
229	0.5309542566
230	0.530793478
231	0.5306456003
232	0.5305197656
233	0.5303451901
234	0.5301992225
235	0.5299743643
236	0.5298209764
237	0.5296802279
238	0.5295691289
239	0.5293702376
240	0.5292226453
241	0.5289665702
242	0.5288203946
243	0.528683077
244	0.5285526957
245	0.5283933306
246	0.5282292469
247	0.5280830817
248	0.5279538904
249	0.5278107618
250	0.5276465819
251	0.5274579466
252	0.5272818467
253	0.5271570848
254	0.5270077838
255	0.526869467
256	0.5267476932
257	0.5265505301
258	0.5264383171
259	0.5262839517
260	0.5260844897
261	0.5258897961
262	0.5257250603
263	0.5256209012
264	0.5254795556
265	0.525332263
266	0.5251623314
267	0.5249764803
268	0.5248341845
269	0.5246735586
270	0.5245105873
271	0.5244089937
272	0.5242321477
273	0.524048793
274	0.5239309233
275	0.5237679058
276	0.5236234752
277	0.5234958234
278	0.5232729476
279	0.5231524414
280	0.5229672476
281	0.5227862789
282	0.5225759456
283	0.5223995989
284	0.5220624522
285	0.5218747882
286	0.5217109629
287	0.5215381506
288	0.5213247324
289	0.5211587391
290	0.5210117616
291	0.5208324511
292	0.5206862941
293	0.5204849563
294	0.5203061139
295	0.5201507433
296	0.519952635
297	0.5197485841
298	0.5196845913
299	0.5195540526
300	0.5193981782
301	0.5192464158
302	0.5190772784
303	0.5188792181
304	0.5187195245
305	0.5186052748
306	0.518459083
307	0.5183215257
308	0.5181423878
309	0.5180498215
310	0.5178967527
311	0.5177121317
312	0.5175959508
313	0.5174319002
314	0.5173049381
315	0.5171523225
316	0.5170372902
317	0.5168623516
318	0.5166758083
319	0.5165203208
320	0.5163788894
321	0.5162575937
322	0.5160598232
323	0.5159383243
324	0.5157791658
325	0.5156433641
326	0.5155302935
327	0.5153899965
328	0.5152430844
329	0.5150467667
330	0.5148752785
331	0.5147429271
332	0.5146192833
333	0.5145254618
334	0.5143708496
335	0.5142483629
336	0.5141435865
337	0.5139467837
338	0.5137597096
339	0.5136063933
340	0.5134735699
341	0.5133041989
342	0.5131538706
343	0.5130487991
344	0.5129526254
345	0.5127525429
346	0.512581694
347	0.5125074774
348	0.5123778105
349	0.5122156329
350	0.5120258551
351	0.5118884064
352	0.5117334253
353	0.5116398842
354	0.5114929555
355	0.511333233
356	0.5112086903
357	0.511077878
358	0.51095611
359	0.5108045676
360	0.5106729867
361	0.5105767346
362	0.5104473899
363	0.5103082072
364	0.5101875511
365	0.5100636619
366	0.5099122673
367	0.5097420786
368	0.5096153062
369	0.509468166
370	0.5093488547
371	0.5092307793
372	0.5090961356
373	0.508974725
374	0.5088437784
375	0.508678126
376	0.5085316774
377	0.508399129
378	0.5082691917
379	0.508131815
380	0.508049388
381	0.507944371
382	0.5078088095
383	0.507680246
384	0.5075236053
385	0.5073757349
386	0.5072749384
387	0.5071635876
388	0.5069993889
389	0.5068647068
390	0.5067064705
391	0.5065980351
392	0.5064238121
393	0.5062011426
394	0.5060837709
395	0.5059067941
396	0.505754714
397	0.5055864937
398	0.5054418688
399	0.5052820865
400	0.505156399
401	0.505071558
402	0.5049612668
403	0.5048563892
404	0.5047369494
405	0.5045947235
406	0.5044684702
407	0.5043782045
408	0.5042464799
409	0.5040952136
410	0.5039553761
411	0.5038508495
412	0.5037181471
413	0.5035793149
414	0.503482198
415	0.5033772487
416	0.5032533034
417	0.5031447223
418	0.5029971408
419	0.5028743372
420	0.5027372155
421	0.5026555345
422	0.5025669442
423	0.5024094113
424	0.502303576
425	0.5022050213
426	0.5020650109
427	0.5018761198
428	0.5017376848
429	0.5015634122
430	0.5014501207
431	0.5012861462
432	0.5011715865
433	0.5010384056
434	0.5009159707
435	0.5008058342
436	0.5007131022
437	0.5005505838
438	0.500446301
439	0.5003287862
440	0.5002339774
441	0.5001713771
442	0.5000229534
443	0.499928416
444	0.4997790465
445	0.4996410165
446	0.4995112332
447	0.4994021934
448	0.4992828235
449	0.4991698462
450	0.4990623714
451	0.4989503919
452	0.4988659186
453	0.4986953296
454	0.4985672988
455	0.4984487334
456	0.498318473
457	0.4982375657
458	0.4981261523
459	0.4980244665
460	0.4978901973
461	0.4977570809
462	0.4976718689
463	0.4975675316
464	0.4974313365
465	0.4972923274
466	0.4971798213
467	0.4970343032
468	0.4969161916
469	0.4967804283
470	0.4966919937
471	0.4965668693
472	0.4964614978
473	0.4963199399
474	0.4961261476
475	0.4960076971
476	0.4958730004
477	0.4957132636
478	0.4955564849
479	0.4954448643
480	0.4953108432
481	0.4951633179
482	0.4950043727
483	0.4948564564
484	0.4946833074
485	0.4945559858
486	0.4944258022
487	0.4942950479
488	0.4941440161
489	0.4940164086
490	0.4938564824
491	0.4937592524
492	0.4936822948
493	0.4935387222
494	0.4934282685
495	0.4933193373
496	0.4931806643
497	0.4931015736
498	0.4929887666
499	0.4929025133
500	0.4928212786
501	0.4927137697
502	0.4925698495
503	0.4924070514
504	0.4923086334
505	0.4921712797
506	0.4920328411
507	0.4918754651
508	0.4917377943
509	0.4916259132
510	0.4915738329
511	0.4914405058
512	0.4913345821
513	0.4912356713
514	0.4910876424
515	0.4909588819
516	0.4908741498
517	0.4907783558
518	0.4906671322
519	0.490561059
520	0.4904325622
521	0.4903300611
522	0.4902028567
523	0.4900724223
524	0.4898869354
525	0.4897771025
526	0.4896663296
527	0.4895132408
528	0.4893931466
529	0.489295517
530	0.4892278923
531	0.4891251797
532	0.4889878981
533	0.4888698561
534	0.4887295931
535	0.4886735824
536	0.4885321829
537	0.4884356811
538	0.488365141
539	0.4882232978
540	0.4881076899
541	0.4880052219
542	0.4879106701
543	0.4877637156
544	0.4876950899
545	0.4875129164
546	0.4874115567
547	0.4872965793
548	0.4871492548
549	0.4870304761
550	0.48690741
551	0.486760209
552	0.4866370124
553	0.4865477338
554	0.4864159381
555	0.4863205657
556	0.4862071119
557	0.4861026049
558	0.4859692403
559	0.4858768072
560	0.4857639988
561	0.4856552163
562	0.4855428084
563	0.4854315903
564	0.4853596726
565	0.4852398346
566	0.4850862341
567	0.4849684499
568	0.4848179362
569	0.4847377477
570	0.484641989
571	0.484545339
572	0.4844153378
573	0.4842730378
574	0.4841377365
575	0.4840414271
576	0.4839664493
577	0.4838360453
578	0.4837634769
579	0.4836236239
580	0.483514606
581	0.4834282327
582	0.4832813746
583	0.4831798495
584	0.4830646246
585	0.4829050208
586	0.4827691909
587	0.4826698758
588	0.4825835955
589	0.4824827399
590	0.4823687301
591	0.4822579786
592	0.4821737732
593	0.4820134283
594	0.4819047666
595	0.4817886447
596	0.4816788406
597	0.4815205073
598	0.48139299
599	0.4812841596
600	0.4811858246
601	0.4811197154
602	0.4810201229
603	0.4809329328
604	0.480841969
605	0.4807177165
606	0.4805862278
607	0.4804474781
608	0.4803129317
609	0.4802576258
610	0.4801165758
611	0.4799617841
612	0.4798608349
613	0.4797641403
614	0.4796697744
615	0.4795398239
616	0.4794306423
617	0.4793311045
618	0.479237471
619	0.4790999306
620	0.4790029094
621	0.4788926457
622	0.4787746067
623	0.4787002473
624	0.4785937455
625	0.4784891075
626	0.4784143186
627	0.4783537682
628	0.478231061
629	0.4781378697
630	0.478045331
631	0.4779085456
632	0.4778128225
633	0.477683198
634	0.4775960627
635	0.4774930938
636	0.4773771798
637	0.4772522918
638	0.4771330066
639	0.4770189804
640	0.4768722657
641	0.4767722779
642	0.4766811154
643	0.4766067302
644	0.4765409878
645	0.476452247
646	0.476364877
647	0.4762478347
648	0.476199416
649	0.476136371
650	0.4760298175
651	0.475911172
652	0.4758398729
653	0.475757752
654	0.4756560295
655	0.4755650407
656	0.4754606325
657	0.4753731587
658	0.4752895137
659	0.4751469288
660	0.4750116973
661	0.474889408
662	0.4747831864
663	0.4747021385
664	0.474624491
665	0.4745009706
666	0.4743832301
667	0.4742373295
668	0.4741632628
669	0.4740605454
670	0.4739308537
671	0.473807517
672	0.4736880413
673	0.4735960813
674	0.4734729981
675	0.4733975113
676	0.4732594398
677	0.4731426297
678	0.472999637
679	0.4729198174
680	0.4728137391
681	0.4727193108
682	0.4725885172
683	0.4724991564
684	0.472386266
685	0.4722899106
686	0.47217956
687	0.4720401382
688	0.4719263228
689	0.4718143566
690	0.4717334728
691	0.4716013897
692	0.4715150955
693	0.471420328
694	0.471339904
695	0.471239406
696	0.4711618913
697	0.4710678507
698	0.4709568636
699	0.4708082173
700	0.4707006979
701	0.4706208768
702	0.4705388088
703	0.4704823233
704	0.470408508
705	0.4702743838
706	0.4701653709
707	0.4701024115
708	0.4699986784
709	0.4699120592
710	0.4697857293
711	0.4696816619
712	0.469575844
713	0.4694744167
714	0.4693822184
715	0.4693057868
716	0.4691925323
717	0.4691201236
718	0.4690035859
719	0.4689217951
720	0.4687810813
721	0.4686647075
722	0.468566372
723	0.4684822504
724	0.4683732051
725	0.4682537845
726	0.4681786471
727	0.4681089834
728	0.4680373057
729	0.4679382152
730	0.4678628023
731	0.4677162578
732	0.4675902658
733	0.467459499
734	0.4673370034
735	0.4672655069
736	0.4672245661
737	0.4671291089
738	0.4670405418
739	0.4669614919
740	0.4668845726
741	0.4668047674
742	0.4666449229
743	0.46652567
744	0.4664297232
745	0.4663419769
746	0.4662516324
747	0.466172138
748	0.4660765772
749	0.4659252323
