iter	Passed	Remaining
539	162349	63135
540	162797	62892
541	163068	62579
542	163260	62237
543	163462	61899
544	163629	61548
545	163824	61209
546	164029	60873
547	164234	60538
548	164486	60221
549	164712	59895
550	164916	59561
551	165121	59228
552	165326	58895
553	165525	58561
554	165740	58233
555	165983	57915
556	166211	57592
557	166432	57267
558	166648	56940
559	166845	56608
560	167088	56291
561	167266	55953
562	167446	55617
563	167620	55278
564	167797	54942
565	167996	54613
566	168209	54289
567	168408	53961
568	168601	53632
569	168792	53302
570	169064	52999
571	169321	52691
572	169517	52364
573	169746	52047
574	169951	51724
575	170162	51403
576	170367	51080
577	170573	50758
578	170732	50423
579	170900	50091
580	171063	49758
581	171226	49426
582	171433	49106
583	171654	48792
584	171871	48476
585	172059	48153
586	172223	47823
587	172417	47502
588	172601	47179
589	172771	46853
590	172984	46538
591	173179	46220
592	173361	45898
593	173596	45591
594	173781	45270
595	173956	44948
596	174129	44626
597	174302	44304
598	174478	43983
599	174637	43659
600	174855	43350
601	175044	43034
602	175252	42723
603	175417	42402
604	175603	42086
605	175800	41774
606	175969	41455
607	176222	41157
608	176489	40862
609	176734	40561
610	176941	40253
611	177314	39982
612	177630	39698
613	177844	39392
614	178070	39088
615	178248	38774
616	178473	38471
617	178755	38180
618	178976	37877
619	179181	37570
620	179357	37257
621	179543	36947
622	179751	36642
623	179930	36332
624	180119	36023
625	180291	35712
626	180442	35397
627	180614	35087
628	180795	34779
629	180982	34472
630	181145	34162
631	181464	33881
632	181652	33575
633	181835	33269
634	182004	32961
635	182180	32655
636	182362	32350
637	182563	32048
638	182740	31743
639	182928	31440
640	183109	31137
641	183293	30834
642	183493	30534
643	183659	30229
644	183823	29924
645	183994	29621
646	184169	29319
647	184332	29015
648	184489	28710
649	184670	28410
650	184831	28108
651	185015	27809
652	185180	27507
653	185386	27212
654	185638	26924
655	185816	26626
656	185989	26327
657	186161	26028
658	186343	25731
659	186640	25450
660	186833	25156
661	187021	24860
662	187241	24570
663	187431	24275
664	187625	23982
665	187849	23692
666	188096	23406
667	188299	23114
668	188509	22824
669	188743	22536
670	188938	22244
671	189105	21949
672	189305	21659
673	189487	21366
674	189724	21080
675	189937	20791
676	190116	20500
677	190288	20207
678	190471	19916
679	190656	19626
680	190851	19337
681	191068	19050
682	191284	18764
683	191456	18473
684	191714	18191
685	191935	17906
686	192130	17618
687	192318	17331
688	192489	17041
689	192745	16760
690	193164	16493
691	193425	16211
692	193643	15927
693	193847	15641
694	194067	15357
695	194312	15075
696	194549	14793
697	194781	14510
698	195023	14229
699	195280	13948
700	195526	13667
701	195699	13381
702	195862	13094
703	196030	12808
704	196238	12525
705	196436	12242
706	196633	11959
707	196804	11674
708	196982	11391
709	197164	11107
710	197328	10823
711	197552	10543
712	197751	10262
713	197926	9979
714	198160	9700
715	198326	9417
716	198537	9137
717	198742	8857
718	198947	8577
719	199133	8297
720	199344	8018
721	199534	7738
722	199711	7458
723	199876	7177
724	200055	6898
725	200280	6620
726	200454	6341
727	200610	6062
728	200768	5783
729	200949	5505
730	201122	5227
731	201367	4951
732	201569	4674
733	201753	4397
734	201921	4120
735	202074	3843
736	202240	3567
737	202420	3291
738	202709	3017
739	203058	2744
740	203322	2469
741	203546	2194
742	203777	1919
743	204040	1645
744	204247	1370
745	204447	1096
746	204636	821
747	204834	547
748	205082	273
749	205308	0
